Date,Open,High,Low,Close
2001-01-01,311.25,311.25,311.25,311.25
2001-01-02,311.25,311.25,311.25,311.25
2001-01-03,311.25,311.25,311.25,311.25
2001-01-04,312.5,312.5,310.0,311.25
2001-01-05,307.5,308.75,303.75,305.0
2001-01-08,305.0,305.0,305.0,305.0
2001-01-09,307.5,307.5,298.75,298.75
2001-01-10,298.75,298.75,293.75,293.75
2001-01-11,300.0,300.0,290.0,290.0
2001-01-12,290.0,296.25,290.0,296.25
2001-01-15,303.75,303.75,297.5,300.0
2001-01-16,305.0,305.0,300.0,301.25
2001-01-17,302.5,302.5,297.5,302.5
2001-01-18,302.5,308.75,298.75,306.25
2001-01-19,311.25,311.25,300.0,301.25
2001-01-22,308.75,310.0,306.25,306.25
2001-01-23,307.5,308.75,306.25,308.75
2001-01-24,310.0,311.25,308.75,311.25
2001-01-25,311.25,311.25,307.5,310.0
2001-01-26,306.25,330.0,306.25,330.0
2001-01-29,318.75,318.75,313.75,315.0
2001-01-30,317.5,321.25,315.0,315.0
2001-01-31,321.25,325.0,318.75,325.0
2001-02-01,328.75,337.5,326.25,333.75
2001-02-02,330.0,333.75,328.75,332.5
2001-02-05,326.25,326.25,323.75,323.75
2001-02-06,323.75,325.0,321.25,323.75
2001-02-07,331.25,331.25,326.25,330.0
2001-02-08,328.75,336.25,325.0,325.0
2001-02-09,325.0,333.75,325.0,332.5
2001-02-12,332.5,332.5,332.5,332.5
2001-02-13,333.75,337.5,333.75,333.75
2001-02-14,336.25,337.5,331.25,331.25
2001-02-15,331.25,337.5,331.25,335.0
2001-02-16,336.25,341.25,335.0,338.75
2001-02-19,338.75,338.75,336.25,337.5
2001-02-20,336.25,341.25,335.0,335.0
2001-02-21,338.75,338.75,325.0,337.5
2001-02-22,336.25,341.25,335.0,335.0
2001-02-23,336.25,337.5,331.25,331.25
2001-02-26,331.25,340.0,331.25,340.0
2001-02-27,340.0,348.75,340.0,346.25
2001-02-28,348.75,348.75,343.75,348.75
2001-03-01,345.0,347.5,341.25,345.0
2001-03-02,340.0,342.5,340.0,341.25
2001-03-05,335.0,338.75,331.25,331.25
2001-03-06,331.25,337.5,331.25,332.5
2001-03-07,337.5,338.75,336.25,337.5
2001-03-08,338.75,340.0,337.5,337.5
2001-03-09,341.25,347.5,340.0,345.0
2001-03-12,345.0,356.25,345.0,347.5
2001-03-13,348.75,348.75,337.5,337.5
2001-03-14,337.5,337.5,337.5,337.5
2001-03-15,341.25,341.25,331.25,341.25
2001-03-16,343.75,343.75,341.25,343.75
2001-03-19,341.25,355.0,341.25,350.0
2001-03-20,350.0,350.0,350.0,350.0
2001-03-21,347.5,355.0,347.5,355.0
2001-03-22,361.25,361.25,358.75,360.0
2001-03-23,361.25,372.5,361.25,372.5
2001-03-26,377.5,382.5,377.5,382.5
2001-03-27,351.25,371.25,351.25,361.25
2001-03-28,362.5,365.0,353.75,356.25
2001-03-29,352.5,358.75,347.5,358.75
2001-03-30,347.5,350.0,347.5,347.5
2001-04-02,347.5,347.5,331.25,336.25
2001-04-03,337.5,337.5,332.5,333.75
2001-04-04,333.75,345.0,333.75,336.25
2001-04-05,348.75,348.75,341.25,348.75
2001-04-06,353.75,353.75,346.25,350.0
2001-04-09,345.0,345.0,331.25,331.25
2001-04-10,341.25,341.25,335.0,340.0
2001-04-11,340.0,343.75,335.0,343.75
2001-04-12,337.5,343.75,337.5,337.5
2001-04-13,343.75,343.75,337.5,337.5
2001-04-16,338.75,342.5,337.5,341.25
2001-04-17,342.5,342.5,337.5,341.25
2001-04-18,343.75,350.0,343.75,350.0
2001-04-19,350.0,353.75,350.0,352.5
2001-04-20,352.5,352.5,345.0,347.5
2001-04-23,350.0,355.0,347.5,348.75
2001-04-24,348.75,350.0,345.0,346.25
2001-04-25,356.25,356.25,346.25,350.0
2001-04-26,356.25,356.25,346.25,350.0
2001-04-27,377.5,377.5,368.75,371.25
2001-04-30,371.25,371.25,371.25,371.25
2001-05-01,381.25,381.25,375.0,380.0
2001-05-02,380.0,385.0,376.25,385.0
2001-05-03,385.0,385.0,385.0,385.0
2001-05-04,385.0,385.0,385.0,385.0
2001-05-07,387.5,387.5,377.5,381.25
2001-05-08,378.75,378.75,370.0,375.0
2001-05-09,365.0,368.75,356.25,368.75
2001-05-10,366.25,368.75,361.25,367.5
2001-05-11,366.25,367.5,362.5,365.0
2001-05-14,363.75,363.75,362.5,362.5
2001-05-15,362.5,362.5,356.25,357.5
2001-05-16,357.5,367.5,357.5,363.75
2001-05-17,365.0,365.0,357.5,357.5
2001-05-18,362.5,367.5,362.5,362.5
2001-05-21,362.5,366.25,356.25,366.25
2001-05-22,367.5,373.75,366.25,370.0
2001-05-23,370.0,375.0,368.75,368.75
2001-05-24,360.0,368.75,360.0,368.75
2001-05-25,370.0,370.0,366.25,366.25
2001-05-28,368.75,368.75,366.25,366.25
2001-05-29,363.75,365.0,356.25,360.0
2001-05-30,363.75,368.75,362.5,362.5
2001-05-31,373.75,373.75,362.5,362.5
2001-06-01,368.75,368.75,360.0,360.0
2001-06-04,360.0,362.5,360.0,362.5
2001-06-05,362.5,368.75,357.5,362.5
2001-06-06,358.75,362.5,356.25,362.5
2001-06-07,360.0,360.0,360.0,360.0
2001-06-08,360.0,363.75,360.0,362.5
2001-06-11,368.75,368.75,362.5,362.5
2001-06-12,362.5,363.75,362.5,362.5
2001-06-13,360.0,362.5,358.75,358.75
2001-06-14,358.75,362.5,357.5,357.5
2001-06-15,356.25,357.5,352.5,356.25
2001-06-18,356.25,362.5,356.25,361.25
2001-06-19,356.25,361.25,356.25,360.0
2001-06-20,351.25,356.25,351.25,352.5
2001-06-21,355.0,356.25,351.25,352.5
2001-06-22,350.0,360.0,350.0,360.0
2001-06-25,362.5,368.75,362.5,367.5
2001-06-26,368.75,373.75,367.5,373.75
2001-06-27,375.0,400.0,373.75,393.75
2001-06-28,396.25,402.5,382.5,397.5
2001-06-29,396.25,396.25,382.5,392.5
2001-07-02,407.5,407.5,392.5,400.0
2001-07-03,403.75,407.5,397.5,400.0
2001-07-04,393.75,396.25,385.0,387.5
2001-07-05,388.75,392.5,387.5,387.5
2001-07-06,385.0,385.0,375.0,381.25
2001-07-09,375.0,375.0,368.75,368.75
2001-07-10,367.5,367.5,362.5,366.25
2001-07-11,366.25,366.25,363.75,365.0
2001-07-12,365.0,366.25,365.0,366.25
2001-07-13,367.5,368.75,366.25,368.75
2001-07-16,370.0,375.0,370.0,370.0
2001-07-17,370.0,373.75,368.75,373.75
2001-07-18,373.75,373.75,360.0,362.5
2001-07-19,357.5,360.0,357.5,360.0
2001-07-20,360.0,360.0,360.0,360.0
2001-07-23,358.75,360.0,351.25,358.75
2001-07-24,356.25,358.75,355.0,355.0
2001-07-25,373.75,373.75,356.25,360.0
2001-07-26,360.0,363.75,360.0,363.75
2001-07-27,362.5,365.0,362.5,365.0
2001-07-30,377.5,377.5,362.5,368.75
2001-07-31,368.75,381.25,367.5,376.25
2001-08-01,378.75,380.0,376.25,380.0
2001-08-02,378.75,382.5,375.0,381.25
2001-08-03,380.0,380.0,370.0,375.0
2001-08-06,363.75,366.25,363.75,363.75
2001-08-07,366.25,373.75,363.75,373.75
2001-08-08,372.5,375.0,372.5,372.5
2001-08-09,366.25,370.0,366.25,368.75
2001-08-10,363.75,368.75,363.75,367.5
2001-08-13,363.75,370.0,363.75,370.0
2001-08-14,371.25,372.5,371.25,372.5
2001-08-15,373.75,373.75,371.25,373.75
